node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_1317,5,0.0227,0.0003,0.0529,0.0007
S_1318,7,0.0187,0.0012,0.0437,0.0006
S_1319,11,0.0193,0.0002,0.073,0.0006
S_132,1,0.018,0.0274,0.0607,0.0006
S_1320,8,0.0227,0.0014,0.0772,0.0007
S_1321,11,0.0187,0.0222,0.079,0.0006
S_1322,11,0.018,0.0119,0.0785,0.0006
S_1323,3,0.0233,0.0005,0.0529,0.0007
S_1324,8,0.0227,0.0003,0.0697,0.0007
S_1325,9,0.026,0.0019,0.0382,0.0008
S_1326,10,0.0187,0.0079,0.0637,0.0006
S_1327,11,0.0193,0.0001,0.0746,0.0006
S_1328,5,0.0233,0.0009,0.0474,0.0007
S_1329,3,0.0187,0.0015,0.0589,0.0006
S_133,2,0.018,0.0001,0.0383,0.0006
S_1330,10,0.0187,0.0147,0.0583,0.0006
S_1331,11,0.024,0.0022,0.079,0.0007
S_1332,8,0.024,0.0006,0.077,0.0007
S_1333,11,0.0247,0.0009,0.0767,0.0008
S_1334,6,0.0227,0.0116,0.0715,0.0007
S_1335,9,0.0207,0.0004,0.0449,0.0007
S_1336,4,0.0213,0.0002,0.0686,0.0007
S_1337,10,0.024,0.0004,0.0621,0.0007
S_1338,5,0.0193,0.0013,0.0544,0.0006
S_1339,3,0.018,0.001,0.0501,0.0006
S_134,1,0.02,0.0002,0.056,0.0006
S_1340,7,0.0227,0.0061,0.0403,0.0007
S_1341,8,0.0207,0.0003,0.0725,0.0006
S_1342,10,0.018,0.0718,0.0672,0.0006
S_1343,4,0.018,0.0162,0.0734,0.0006
S_1344,7,0.018,0.005,0.0449,0.0006
S_1345,6,0.0274,0.0069,0.0659,0.0008
S_1346,11,0.02,0.0008,0.0763,0.0006
S_1347,10,0.0247,0.0005,0.059,0.0007
S_1348,5,0.02,0.0056,0.0502,0.0006
S_1349,10,0.0294,0.0005,0.0558,0.0009
S_135,1,0.0187,0.0001,0.0524,0.0006
S_1350,9,0.0213,0.0014,0.0425,0.0007
S_1351,4,0.018,0.0004,0.0691,0.0006
S_1352,3,0.0193,0.0009,0.0542,0.0006
S_1353,11,0.0187,0.0516,0.0793,0.0006
S_1354,11,0.0187,0.0226,0.0784,0.0006
S_1355,11,0.0254,0.0006,0.0737,0.0008
S_1356,4,0.0227,0.0031,0.0678,0.0007
S_1357,6,0.0233,0.0121,0.0716,0.0007
S_1358,9,0.018,0.0023,0.0423,0.0006
S_1359,11,0.0207,0.0194,0.077,0.0006
S_136,2,0.0233,0.0002,0.0462,0.0007
S_1360,7,0.024,0.0019,0.0392,0.0007
S_1361,6,0.024,0.0003,0.0679,0.0007
S_1362,8,0.0254,0.0006,0.0726,0.0008
S_1363,7,0.0213,0.0033,0.0403,0.0007
S_1364,9,0.03,0.0037,0.0382,0.0009
S_1365,4,0.0213,0.0001,0.0692,0.0007
S_1366,6,0.0207,0.0143,0.0688,0.0006
S_1367,10,0.0227,0.0003,0.0618,0.0007
S_1368,11,0.0247,0.0005,0.0737,0.0007
S_1369,8,0.0254,0.0005,0.0726,0.0008
S_137,12,0.0227,0.0004,0.05,0.0007
S_1370,9,0.02,0.0048,0.0402,0.0006
S_1371,8,0.018,0.012,0.0792,0.0006
S_1372,11,0.0233,0.0005,0.0748,0.0007
S_1373,9,0.0213,0.0,0.0363,0.0007
S_1374,7,0.0267,0.0007,0.0382,0.0008
S_1375,9,0.0193,0.002,0.0475,0.0006
S_1376,11,0.0267,0.0006,0.0762,0.0008
S_1377,11,0.018,0.0034,0.0788,0.0006
S_1378,11,0.018,0.0237,0.0793,0.0006
S_1379,7,0.0207,0.0011,0.0403,0.0007
S_138,12,0.0233,0.0016,0.0405,0.0007
S_1380,5,0.02,0.0008,0.0544,0.0006
S_1381,10,0.0207,0.0083,0.0592,0.0006
S_1382,7,0.0187,0.0006,0.0403,0.0006
S_1383,8,0.026,0.0006,0.0758,0.0008
S_1384,7,0.0227,0.0008,0.0392,0.0007
S_1385,8,0.0233,0.0005,0.0697,0.0007
S_1386,9,0.018,0.0,0.0363,0.0006
S_1387,3,0.0247,0.0013,0.0475,0.0008
S_1388,7,0.0187,0.0025,0.0425,0.0006
S_1389,11,0.02,0.0076,0.0788,0.0006
S_139,1,0.0193,0.0001,0.0533,0.0006
S_1390,3,0.0227,0.0012,0.0502,0.0007
S_1391,7,0.0213,0.0009,0.0425,0.0007
S_1392,9,0.0187,0.0044,0.0449,0.0006
S_1393,5,0.0207,0.0058,0.0502,0.0006
S_1394,4,0.0227,0.0011,0.0671,0.0007
S_1395,3,0.024,0.0031,0.0529,0.0007
S_1396,8,0.02,0.0034,0.0743,0.0006
S_1397,3,0.0233,0.0007,0.054,0.0007
S_1398,6,0.0213,0.003,0.0636,0.0007
S_1399,8,0.0187,0.0049,0.0772,0.0006
S_14,1,0.024,0.0001,0.0538,0.0007
S_140,12,0.022,0.0004,0.047,0.0007
S_1400,10,0.02,0.0001,0.0571,0.0006
S_1401,6,0.0247,0.0037,0.0637,0.0007
S_1402,3,0.026,0.0006,0.0573,0.0008
S_1403,7,0.018,0.007,0.0437,0.0006
S_1404,11,0.0193,0.037,0.076,0.0006
S_1405,7,0.018,0.0016,0.0437,0.0006
S_1406,8,0.0207,0.0003,0.0764,0.0006
S_1407,7,0.0193,0.0011,0.0449,0.0006
S_1408,5,0.018,0.0367,0.0546,0.0006
S_1409,8,0.02,0.0001,0.072,0.0006
S_141,12,0.022,0.0011,0.0495,0.0007
S_1410,5,0.0233,0.0009,0.0474,0.0007
S_1411,10,0.02,0.0002,0.0616,0.0006
S_1412,4,0.02,0.0009,0.0665,0.0006
S_1413,6,0.018,0.0004,0.0597,0.0006
S_1414,4,0.02,0.0006,0.0692,0.0006
S_1415,11,0.02,0.0003,0.0763,0.0006
S_1416,11,0.024,0.0003,0.0737,0.0007
S_1417,7,0.024,0.0013,0.0382,0.0007
S_1418,6,0.0207,0.0003,0.0598,0.0006
S_1419,6,0.0187,0.0053,0.0656,0.0006
S_142,13,0.0254,0.0007,0.0321,0.0008
S_1420,6,0.0187,0.0194,0.0743,0.0006
S_1421,8,0.0187,0.0006,0.0738,0.0006
S_1422,11,0.0233,0.0003,0.0731,0.0007
S_1423,5,0.024,0.001,0.0515,0.0007
S_1424,10,0.0187,0.0007,0.0572,0.0006
S_1425,4,0.0213,0.0001,0.0671,0.0007
S_1426,11,0.0207,0.001,0.0757,0.0006
S_1427,5,0.0233,0.0028,0.0462,0.0007
S_1428,8,0.02,0.0006,0.0726,0.0006
S_1429,6,0.0193,0.001,0.0693,0.0006
S_143,2,0.0193,0.0006,0.0427,0.0006
S_1430,8,0.0254,0.0006,0.0739,0.0008
S_1431,11,0.022,0.0004,0.0771,0.0007
S_1432,6,0.0247,0.0021,0.0715,0.0008
S_1433,4,0.0187,0.018,0.0752,0.0006
S_1434,7,0.02,0.001,0.0403,0.0006
S_1435,9,0.018,0.0,0.0363,0.0006
S_1436,11,0.022,0.0003,0.0729,0.0007
S_1437,11,0.0227,0.0148,0.0773,0.0007
S_1438,8,0.0247,0.0006,0.0739,0.0007
S_1439,11,0.026,0.0004,0.0716,0.0008
S_144,1,0.02,0.0007,0.0537,0.0006
S_1440,8,0.0213,0.0012,0.0753,0.0007
S_1441,11,0.0247,0.0005,0.0761,0.0008
S_1442,6,0.0247,0.0024,0.0625,0.0008
S_1443,4,0.0233,0.0003,0.0655,0.0007
S_1444,6,0.024,0.0011,0.0627,0.0007
S_1445,6,0.022,0.0075,0.0657,0.0007
S_1446,10,0.024,0.0077,0.0593,0.0007
S_1447,7,0.018,0.002,0.0392,0.0006
S_1448,8,0.0247,0.001,0.0703,0.0007
S_1449,5,0.0233,0.0004,0.0529,0.0007
S_145,1,0.024,0.0002,0.0523,0.0007
S_1450,9,0.022,0.001,0.0382,0.0007
S_1451,8,0.02,0.001,0.0731,0.0006
S_1452,4,0.0187,0.0178,0.0752,0.0006
S_1453,7,0.018,0.0,0.0363,0.0006
S_1454,10,0.0233,0.0004,0.0588,0.0007
S_1455,5,0.018,0.003,0.0545,0.0006
S_1456,11,0.018,0.0622,0.0769,0.0006
S_1457,11,0.02,0.0008,0.0758,0.0006
S_1458,7,0.0267,0.0007,0.0382,0.0008
S_1459,10,0.0233,0.0004,0.0632,0.0007
S_146,12,0.022,0.0001,0.0426,0.0007
S_1460,8,0.018,0.0371,0.079,0.0006
S_1461,11,0.0193,0.0141,0.0781,0.0006
S_1462,10,0.0187,0.0007,0.0572,0.0006
S_1463,8,0.026,0.0006,0.0757,0.0008
S_1464,4,0.018,0.0037,0.0746,0.0006
S_1465,3,0.0213,0.0003,0.0501,0.0007
S_1466,6,0.018,0.01,0.0715,0.0006
S_1467,6,0.024,0.0003,0.0599,0.0007
S_1468,7,0.026,0.0004,0.0382,0.0008
S_1469,10,0.018,0.0305,0.0648,0.0006
S_147,12,0.018,0.0003,0.0356,0.0006
S_1470,3,0.022,0.0003,0.0501,0.0007
S_1471,7,0.018,0.0,0.0363,0.0006
S_1472,9,0.024,0.0059,0.0447,0.0008
