node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
G_367,1,0.012,0.0004,0.118,0.0007
G_368,1,0.012,0.0099,0.1193,0.0007
G_369,4,0.0113,0.0062,0.0808,0.0006
G_37,11,0.01,0.0062,0.114,0.0006
G_370,10,0.0127,0.0036,0.1111,0.0007
G_371,4,0.0133,0.0016,0.0701,0.0007
G_372,0,0.012,0.0013,0.0827,0.0007
G_373,10,0.0107,0.0017,0.0962,0.0006
G_374,0,0.0107,0.0087,0.0862,0.0006
G_375,0,0.0153,0.0007,0.0848,0.0008
G_376,4,0.0107,0.0009,0.0729,0.0006
G_377,1,0.0113,0.1374,0.1246,0.0006
G_378,0,0.0127,0.001,0.0817,0.0007
G_379,10,0.0133,0.0047,0.1104,0.0008
G_38,0,0.0107,0.008,0.085,0.0006
G_380,4,0.0147,0.0017,0.0725,0.0008
G_381,10,0.0107,0.0846,0.0954,0.0006
G_382,10,0.01,0.0693,0.1005,0.0006
G_383,10,0.0113,0.0016,0.1175,0.0007
G_384,4,0.012,0.0009,0.0743,0.0007
G_385,4,0.0127,0.0025,0.0777,0.0007
G_386,11,0.012,0.0195,0.1102,0.0007
G_387,10,0.012,0.0014,0.1053,0.0007
