node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
S_1312,10,0.014,0.0035,0.0685,0.0006
S_1313,4,0.0153,0.0026,0.0679,0.0006
S_1314,4,0.0147,0.0016,0.0651,0.0006
S_1315,3,0.016,0.0012,0.0437,0.0006
S_1316,5,0.018,0.0012,0.0705,0.0007
S_1317,8,0.02,0.001,0.0487,0.0008
S_1318,9,0.0147,0.0089,0.0418,0.0006
S_1319,5,0.0167,0.0007,0.0662,0.0006
S_132,6,0.014,0.0218,0.0485,0.0006
S_1320,10,0.0147,0.0001,0.0658,0.0006
S_1321,5,0.0147,0.0011,0.0682,0.0006
S_1322,5,0.0147,0.0206,0.0707,0.0006
S_1323,3,0.0193,0.0016,0.0483,0.0008
S_1324,10,0.0167,0.0008,0.0635,0.0007
S_1325,11,0.0187,0.0012,0.0328,0.0007
S_1326,4,0.0147,0.0315,0.06,0.0006
S_1327,5,0.0167,0.0005,0.0677,0.0007
S_1328,8,0.0193,0.0009,0.0444,0.0007
S_1329,3,0.0153,0.003,0.0531,0.0006
S_133,2,0.016,0.0004,0.0295,0.0007
S_1330,8,0.014,0.0001,0.05,0.0006
S_1331,10,0.018,0.0012,0.0682,0.0007
S_1332,10,0.0213,0.001,0.0677,0.0008
S_1333,10,0.0207,0.0007,0.0677,0.0008
S_1334,7,0.02,0.0039,0.0635,0.0008
S_1335,11,0.0187,0.0034,0.0407,0.0008
S_1336,4,0.0193,0.0017,0.0642,0.0007
S_1337,4,0.022,0.0009,0.0566,0.0008
S_1338,8,0.0153,0.0025,0.0513,0.0006
S_1339,3,0.014,0.0089,0.0467,0.0006
S_134,1,0.0153,0.0004,0.0453,0.0006
S_1340,9,0.0173,0.0052,0.0381,0.0007
S_1341,10,0.018,0.001,0.0676,0.0007
S_1342,4,0.014,0.1331,0.0628,0.0006
S_1343,4,0.014,0.0449,0.0664,0.0006
S_1344,9,0.014,0.0024,0.0422,0.0006
S_1345,7,0.0187,0.0005,0.0591,0.0007
S_1346,5,0.0167,0.0023,0.0711,0.0007
S_1347,8,0.018,0.0,0.0512,0.0007
S_1348,8,0.016,0.0081,0.0457,0.0006
S_1349,8,0.0193,0.0015,0.0516,0.0007
S_135,6,0.0153,0.0001,0.0434,0.0006
S_1350,11,0.0167,0.0039,0.0387,0.0007
S_1351,4,0.014,0.0044,0.0643,0.0006
S_1352,3,0.0153,0.0058,0.0491,0.0006
S_1353,5,0.0147,0.0495,0.0737,0.0006
S_1354,5,0.0147,0.0012,0.07,0.0006
S_1355,5,0.0207,0.0005,0.0653,0.0008
S_1356,4,0.0167,0.0003,0.0598,0.0007
S_1357,7,0.02,0.0039,0.0635,0.0008
S_1358,11,0.0147,0.0089,0.0378,0.0006
S_1359,5,0.016,0.0019,0.0695,0.0006
S_136,2,0.0187,0.0004,0.0376,0.0007
S_1360,9,0.0153,0.0034,0.0363,0.0006
S_1361,7,0.018,0.0016,0.064,0.0007
S_1362,10,0.0207,0.0005,0.0648,0.0008
S_1363,9,0.0153,0.0005,0.0363,0.0006
S_1364,11,0.0213,0.0022,0.0328,0.0008
S_1365,4,0.0207,0.001,0.0647,0.0008
S_1366,7,0.0147,0.0024,0.0611,0.0006
S_1367,4,0.0193,0.0006,0.0568,0.0007
S_1368,5,0.0207,0.0005,0.0653,0.0008
S_1369,10,0.0213,0.0005,0.0648,0.0008
S_137,6,0.0167,0.0001,0.0423,0.0007
S_1370,11,0.014,0.0002,0.0344,0.0006
S_1371,10,0.0147,0.0023,0.0707,0.0006
S_1372,5,0.0193,0.0007,0.0664,0.0007
S_1373,11,0.0187,0.0,0.0314,0.0007
S_1374,9,0.0153,0.0001,0.0346,0.0006
S_1375,3,0.0147,0.0013,0.0428,0.0006
S_1376,5,0.0187,0.0008,0.0677,0.0007
S_1377,10,0.0153,0.0009,0.0683,0.0006
S_1378,5,0.014,0.0399,0.0712,0.0006
S_1379,9,0.018,0.0069,0.0381,0.0007
S_138,12,0.02,0.0027,0.0334,0.0008
S_1380,8,0.0173,0.0025,0.0513,0.0007
S_1381,8,0.0147,0.011,0.0531,0.0006
S_1382,9,0.0147,0.0058,0.0377,0.0006
S_1383,10,0.018,0.0012,0.0677,0.0007
S_1384,9,0.0167,0.0043,0.0363,0.0007
S_1385,10,0.016,0.0006,0.0635,0.0006
S_1386,11,0.014,0.0,0.0314,0.0006
S_1387,3,0.0187,0.0028,0.0438,0.0007
S_1388,9,0.014,0.0045,0.0401,0.0006
S_1389,5,0.0153,0.0087,0.0709,0.0006
S_139,1,0.016,0.0003,0.0455,0.0006
S_1390,3,0.0213,0.0007,0.0449,0.0008
