node,community,cent_degree,cent_betweenness,cent_closeness,cent_pagerank
R_1245,7,0.0153,0.0001,0.0655,0.0006
R_1246,3,0.0147,0.0167,0.0522,0.0006
R_1247,8,0.0207,0.0007,0.0745,0.0008
R_1248,0,0.0207,0.0004,0.0591,0.0008
R_1249,0,0.0147,0.0062,0.0654,0.0006
R_125,1,0.0187,0.0015,0.0464,0.0007
R_1250,0,0.016,0.0023,0.0632,0.0006
R_1251,1,0.0167,0.0007,0.0464,0.0007
R_1252,4,0.014,0.0,0.0371,0.0006
R_1253,3,0.0153,0.0026,0.052,0.0006
R_1254,4,0.02,0.001,0.0415,0.0008
R_1255,9,0.016,0.0005,0.0733,0.0006
R_1256,3,0.0173,0.0003,0.0483,0.0007
R_1257,0,0.0173,0.0004,0.0591,0.0007
R_1258,9,0.016,0.0012,0.0756,0.0006
R_1259,0,0.0167,0.0006,0.0573,0.0007
R_126,3,0.0153,0.0013,0.0484,0.0006
R_1260,4,0.0153,0.0005,0.0385,0.0006
R_1261,0,0.0147,0.141,0.0599,0.0006
R_1262,3,0.016,0.0004,0.0467,0.0007
R_1263,2,0.0153,0.0004,0.0586,0.0006
R_1264,8,0.0147,0.0008,0.0744,0.0006
R_1265,3,0.02,0.0037,0.0538,0.0008
R_1266,11,0.0173,0.0002,0.0629,0.0007
R_1267,4,0.014,0.0,0.0371,0.0006
R_1268,7,0.0173,0.0044,0.0653,0.0007
R_1269,9,0.016,0.0004,0.0715,0.0006
R_127,7,0.0167,0.0033,0.0654,0.0007
R_1270,4,0.018,0.0003,0.0374,0.0007
R_1271,7,0.0173,0.0003,0.069,0.0007
R_1272,8,0.018,0.0017,0.0765,0.0007
R_1273,1,0.014,0.0845,0.0483,0.0006
R_1274,0,0.018,0.0003,0.0613,0.0007
R_1275,8,0.018,0.0022,0.0788,0.0007
R_1276,1,0.016,0.0271,0.0465,0.0006
R_1277,0,0.014,0.1155,0.0638,0.0006
R_1278,7,0.0167,0.0004,0.064,0.0006
R_1279,4,0.0147,0.0003,0.04,0.0006
R_128,7,0.0153,0.0003,0.0649,0.0006
R_1280,6,0.0167,0.0043,0.075,0.0007
R_1281,6,0.016,0.0008,0.0687,0.0006
R_1282,7,0.0153,0.0172,0.0721,0.0006
R_1283,3,0.0193,0.0016,0.0518,0.0008
R_1284,7,0.016,0.003,0.0653,0.0006
R_1285,0,0.0193,0.0009,0.0608,0.0007
R_1286,0,0.0147,0.0881,0.0618,0.0006
R_1287,3,0.0167,0.0005,0.0519,0.0007
R_1288,0,0.016,0.0427,0.0579,0.0007
R_1289,10,0.0147,0.0002,0.0455,0.0006
R_129,7,0.014,0.026,0.0666,0.0006
R_1290,4,0.018,0.0021,0.04,0.0007
R_1291,2,0.014,0.3183,0.0728,0.0006
R_1292,1,0.018,0.0004,0.0464,0.0007
R_1293,0,0.0187,0.0002,0.0607,0.0007
R_1294,1,0.018,0.0001,0.0464,0.0007
R_1295,2,0.016,0.0009,0.0661,0.0006
R_1296,7,0.0167,0.0032,0.0684,0.0007
R_1297,0,0.016,0.0117,0.0598,0.0007
R_1298,1,0.0193,0.0005,0.045,0.0007
R_1299,9,0.0153,0.0003,0.0715,0.0006
R_13,0,0.014,0.0107,0.0558,0.0006
R_130,5,0.0207,0.0118,0.0587,0.0008
R_1300,0,0.018,0.0022,0.0613,0.0007
R_1301,5,0.02,0.0045,0.0613,0.0008
R_1302,1,0.018,0.0088,0.0483,0.0007
R_1303,3,0.0147,0.0005,0.0484,0.0006
R_1304,1,0.0147,0.0269,0.0465,0.0006
R_1305,0,0.0167,0.0012,0.0615,0.0006
R_1306,4,0.0147,0.0012,0.0388,0.0006
R_1307,1,0.018,0.001,0.045,0.0007
R_1308,6,0.016,0.0005,0.0698,0.0006
R_1309,0,0.0147,0.0026,0.0594,0.0006
R_131,4,0.0147,0.0043,0.0433,0.0006
R_1310,0,0.014,0.0268,0.0558,0.0006
R_1311,1,0.0173,0.0004,0.0464,0.0007
